,city,train_len,train_RMSE,test_RMSE,class
0,Opfikon_Balsberg,18.0,6.569127191694561,12.103195273656118,high traffic
0,StGallen_Blumenbergplatz,18.0,6.909735286515552,20.486549074905124,low traffic
0,StGallen_Stuelegg,18.0,2.769467590192906,6.998540028407782,no traffic
0,Zuerich_Schimmelstrasse,18.0,6.891022642439163,8.45798603356668,low traffic
0,Zuerich_Stampfenbachstrasse,18.0,7.028690307183354,8.19004926822403,low traffic
0,Opfikon_Balsberg,24.0,6.815153877199395,11.169931554838984,high traffic
0,StGallen_Blumenbergplatz,24.0,7.212448682158733,19.94158748155349,low traffic
0,StGallen_Stuelegg,24.0,2.8107992762355933,6.321936597004367,no traffic
0,Zuerich_Schimmelstrasse,24.0,7.075387711061029,6.131987191658897,low traffic
0,Zuerich_Stampfenbachstrasse,24.0,6.9283785009378525,7.159842754889084,low traffic
0,Opfikon_Balsberg,3.0,9.637202521240047,10.860324361038044,high traffic
0,StGallen_Blumenbergplatz,3.0,10.552436731956824,8.915238128983908,low traffic
0,StGallen_Stuelegg,3.0,4.773304351288062,2.7226313611333026,no traffic
0,Zuerich_Schimmelstrasse,3.0,7.267972422597914,25.610458570207445,low traffic
0,Zuerich_Stampfenbachstrasse,3.0,6.764594757773596,12.64456284923703,low traffic
0,Opfikon_Balsberg,6.0,6.841674310786796,8.191920197671655,high traffic
0,StGallen_Blumenbergplatz,6.0,8.951456127549775,8.47959838823941,low traffic
0,StGallen_Stuelegg,6.0,2.946505815973258,2.352190669037783,no traffic
0,Zuerich_Schimmelstrasse,6.0,6.726459237343659,16.751819456539405,low traffic
0,Zuerich_Stampfenbachstrasse,6.0,6.703835696964695,7.869474548510158,low traffic
0,Opfikon_Balsberg,9.0,6.4798464067737305,8.949128238243127,high traffic
0,StGallen_Blumenbergplatz,9.0,8.322815510003942,7.466395146816052,low traffic
0,StGallen_Stuelegg,9.0,2.54235522722387,2.673829306332854,no traffic
0,Zuerich_Schimmelstrasse,9.0,6.493309687863143,15.854567037969064,low traffic
0,Zuerich_Stampfenbachstrasse,9.0,6.368627365678108,7.120401581487994,low traffic
0,Opfikon_Balsberg,12.0,6.867588661084536,8.395726521683127,high traffic
0,StGallen_Blumenbergplatz,12.0,8.19949945500199,8.02953505479238,low traffic
0,StGallen_Stuelegg,12.0,2.7576339340978486,2.9163330756424446,no traffic
0,Zuerich_Schimmelstrasse,12.0,6.851971388965482,8.427544632912282,low traffic
0,Zuerich_Stampfenbachstrasse,12.0,6.5780218354466875,6.9337620819692365,low traffic
0,Opfikon_Balsberg,18.0,6.891074630400857,8.49448085855103,high traffic
0,StGallen_Blumenbergplatz,18.0,7.812648954678637,8.184051575340707,low traffic
0,StGallen_Stuelegg,18.0,3.0294817809770085,2.557104726455204,no traffic
0,Zuerich_Schimmelstrasse,18.0,6.864046863507403,9.080447741389854,low traffic
0,Zuerich_Stampfenbachstrasse,18.0,7.068383304582915,8.448316702309837,low traffic
0,Opfikon_Balsberg,24.0,6.852958884404369,8.249158542281878,high traffic
0,StGallen_Blumenbergplatz,24.0,7.733400385980112,7.454373079901711,low traffic
0,StGallen_Stuelegg,24.0,2.9263312911181107,2.493165860426689,no traffic
0,Zuerich_Schimmelstrasse,24.0,7.020786096537289,8.76726785684791,low traffic
0,Zuerich_Stampfenbachstrasse,24.0,6.908341947519301,6.799590956277205,low traffic
0,Opfikon_Balsberg,3.0,8.218671353320012,10.281324003212296,high traffic
0,StGallen_Blumenbergplatz,3.0,9.376540469548388,17.756899616362933,low traffic
0,StGallen_Stuelegg,3.0,4.063667943455238,4.702169523494005,no traffic
0,Zuerich_Schimmelstrasse,3.0,5.24855323732631,14.673043345116202,low traffic
0,Zuerich_Stampfenbachstrasse,3.0,5.4884336518370676,13.38660783875472,low traffic
0,Opfikon_Balsberg,6.0,6.91910101341797,12.436366748818042,high traffic
0,StGallen_Blumenbergplatz,6.0,8.66423668235049,7.952790534254552,low traffic
0,StGallen_Stuelegg,6.0,2.944844247454215,3.0968126151306485,no traffic
0,Zuerich_Schimmelstrasse,6.0,6.637332932677534,14.491358646676723,low traffic
0,Zuerich_Stampfenbachstrasse,6.0,6.788441959531678,12.027282692696641,low traffic
0,Opfikon_Balsberg,9.0,6.53361442613289,8.591428539020075,high traffic
0,StGallen_Blumenbergplatz,9.0,8.437271799257546,8.011950254338599,low traffic
0,StGallen_Stuelegg,9.0,2.6515839852871177,2.9237059213540784,no traffic
0,Zuerich_Schimmelstrasse,9.0,6.599932433290646,12.935953277918195,low traffic
0,Zuerich_Stampfenbachstrasse,9.0,6.500178271066704,8.826038662361427,low traffic
0,Opfikon_Balsberg,12.0,6.5356174812731345,7.771985207233759,high traffic
0,StGallen_Blumenbergplatz,12.0,8.072696054901524,7.975350513637728,low traffic
