,no2,city,pre_lockdown_model,dummy,lockdown_model,weekday,class,year
2016-04-21,44.01583333333334,Opfikon_Balsberg,35.93811464661347,32.921222353593336,27.336438581638518,3,high traffic,2016
2016-04-22,44.50739130434783,Opfikon_Balsberg,42.117593464308506,38.41600607258192,30.24045056359182,4,high traffic,2016
2016-04-23,47.73,Opfikon_Balsberg,33.93279882441236,36.16082352684253,24.490438684528606,5,high traffic,2016
2016-04-24,30.475454545454546,Opfikon_Balsberg,28.98029563599096,34.70953571955887,20.452770994270445,6,high traffic,2016
2016-04-25,30.986,Opfikon_Balsberg,33.694009238743185,33.694009238743185,22.717560989625213,0,high traffic,2016
2016-04-26,38.24875,Opfikon_Balsberg,30.753398139189002,29.261248391825152,21.727670541337233,1,high traffic,2016
2016-04-27,47.095,Opfikon_Balsberg,31.543834055896983,29.477194802583316,22.01910677632804,2,high traffic,2016
2016-04-28,44.62000000000001,Opfikon_Balsberg,30.691660720191027,28.115191820883915,22.530408048929097,3,high traffic,2016
2016-04-29,40.20666666666667,Opfikon_Balsberg,39.056424052719755,35.62387354477139,27.44831803578129,4,high traffic,2016
2016-04-30,40.675416666666656,Opfikon_Balsberg,31.318709334804538,33.37509314231921,21.704708300005287,5,high traffic,2016
2016-05-01,40.207916666666655,Opfikon_Balsberg,31.78045896028938,38.063275451759196,23.80651072647077,6,high traffic,2016
2016-05-02,36.98772727272728,Opfikon_Balsberg,29.980534285511244,29.980534285511244,19.00408603639327,0,high traffic,2016
2016-05-03,40.55125,Opfikon_Balsberg,39.7088851782258,37.78221669370197,30.24863884321405,1,high traffic,2016
2016-05-04,22.044166666666676,Opfikon_Balsberg,25.150212215383306,23.50246021093845,16.044372184683176,2,high traffic,2016
2016-05-05,16.3775,Opfikon_Balsberg,22.684248771836796,20.779977054590358,15.19519328263554,3,high traffic,2016
2016-05-06,32.91454545454545,Opfikon_Balsberg,33.30493861923159,30.377868700584713,22.202313191594612,4,high traffic,2016
2016-05-07,30.40791666666668,Opfikon_Balsberg,21.188618676655135,22.57986158786461,10.909476745550688,5,high traffic,2016
2016-05-08,27.84583333333333,Opfikon_Balsberg,21.05628236363399,25.218989964823415,10.962225239534986,6,high traffic,2016
2016-05-09,43.96833333333333,Opfikon_Balsberg,31.373892397312105,31.373892397312105,20.397444148194133,0,high traffic,2016
2016-05-10,39.62818181818182,Opfikon_Balsberg,35.638338050441476,33.9091718335001,26.375593983012184,1,high traffic,2016
2016-05-11,37.24999999999999,Opfikon_Balsberg,29.162526192119238,27.251901718010497,19.793813691755222,2,high traffic,2016
2016-05-12,70.08333333333333,Opfikon_Balsberg,44.70156572393349,40.949009129226965,35.36422535727215,3,high traffic,2016
2016-05-13,67.52291666666666,Opfikon_Balsberg,37.252592213243474,33.97857500799814,25.803019499008037,4,high traffic,2016
2016-05-14,59.55217391304349,Opfikon_Balsberg,29.2866993720587,31.209661577187763,19.53927673487384,5,high traffic,2016
2016-05-15,30.221304347826084,Opfikon_Balsberg,25.684583363669045,30.762279822849504,16.505515097561073,6,high traffic,2016
2016-05-16,36.8475,Opfikon_Balsberg,33.07016100301425,33.07016100301425,22.093712753896277,0,high traffic,2016
2016-05-17,40.75416666666667,Opfikon_Balsberg,31.966579135259757,30.415566048352094,22.881988197864175,1,high traffic,2016
2016-05-18,45.928749999999994,Opfikon_Balsberg,35.159790498700865,32.85624670455907,25.398158678303794,2,high traffic,2016
2016-05-19,50.96,Opfikon_Balsberg,35.24915091750208,32.29009497413369,26.70531120217887,3,high traffic,2016
2016-05-20,34.61708333333333,Opfikon_Balsberg,34.40191071050475,31.378431245914232,23.202875736924135,4,high traffic,2016
2016-05-21,35.465,Opfikon_Balsberg,34.853870303635894,37.14237248153257,25.471987639218646,5,high traffic,2016
2016-05-22,33.03791666666667,Opfikon_Balsberg,30.395899294268705,36.404996192388154,22.148231467099727,6,high traffic,2016
2016-05-23,50.51363636363636,Opfikon_Balsberg,39.16189513182112,39.16189513182112,28.185446882703147,0,high traffic,2016
2016-05-24,39.73666666666666,Opfikon_Balsberg,33.417978535844604,31.796543792146192,24.262965941658273,1,high traffic,2016
2016-05-25,39.54208333333333,Opfikon_Balsberg,34.758733689434344,32.481465703850574,25.0233776775953,2,high traffic,2016
2016-05-26,37.908333333333346,Opfikon_Balsberg,36.388333920050655,33.333647127526085,27.748863355571267,3,high traffic,2016
2016-05-27,45.73863636363637,Opfikon_Balsberg,40.55155158581829,36.987598859216796,28.812043350226695,4,high traffic,2016
2016-05-28,32.571666666666665,Opfikon_Balsberg,34.105534721940884,36.344901248801186,24.674516406487264,5,high traffic,2016
2016-05-29,35.93083333333333,Opfikon_Balsberg,29.15361565303049,34.91712012097115,20.66035539568272,6,high traffic,2016
2016-05-30,33.67458333333334,Opfikon_Balsberg,32.10347389676431,32.10347389676431,21.127025647646335,0,high traffic,2016
