,no2_2020,city,no2_2019,pre_lockdown_model,dummy,lockdown_model,weekday,class
3/31,7.466956521739132,StGallen_Stuelegg,8.38173913043478,17.292213525410173,16.932455667246906,15.081540419269402,1,no traffic
4/1,11.479166666666664,StGallen_Stuelegg,12.149545454545455,13.277443557022027,14.1923609011369,14.83628401930434,2,no traffic
4/2,13.042916666666665,StGallen_Stuelegg,5.550869565217392,8.099408995616944,8.09285352169066,10.592130973138204,3,no traffic
4/3,10.17086956521739,StGallen_Stuelegg,5.896249999999998,6.79735616121813,6.186398016019789,8.653145183193363,4,no traffic
4/4,13.121250000000002,StGallen_Stuelegg,6.397083333333335,8.925243508607544,9.683368703139898,11.32870877671527,5,no traffic
4/5,8.185833333333333,StGallen_Stuelegg,5.752173913043479,6.344326564284811,8.391679493059057,7.543392228810649,6,no traffic
4/6,7.888695652173913,StGallen_Stuelegg,7.07375,4.729896899966179,4.729896899966179,3.1992395339577615,0,no traffic
4/7,7.708749999999998,StGallen_Stuelegg,6.467083333333332,3.228327375277681,3.1611632646637857,1.310248016686282,1,no traffic
4/8,6.335416666666666,StGallen_Stuelegg,5.341304347826087,2.7096923347279107,2.896410847490598,3.5403339656580393,2,no traffic
4/9,9.930869565217392,StGallen_Stuelegg,10.84708333333333,3.883338998386844,3.880195913803187,6.379473365250731,3,no traffic
4/10,6.346666666666665,StGallen_Stuelegg,13.075833333333335,5.631434363308411,5.125271288752591,7.592018455926165,4,no traffic
4/11,9.404166666666667,StGallen_Stuelegg,14.42190476190476,4.747339795826754,5.150586822392629,6.795926895968002,5,no traffic
4/12,5.02391304347826,StGallen_Stuelegg,15.013333333333335,2.585099512844401,3.41932691352542,2.571039649277013,6,no traffic
4/13,4.672083333333333,StGallen_Stuelegg,13.632916666666668,3.730619008132597,3.730619008132597,2.1999616421241797,0,no traffic
4/14,8.230000000000002,StGallen_Stuelegg,10.499565217391305,10.037522043237296,9.82869525387136,7.977780005893855,1,no traffic
4/15,11.711739130434784,StGallen_Stuelegg,10.931666666666667,9.51876563990023,10.174681346949388,10.81860446511683,2,no traffic
4/16,9.446666666666664,StGallen_Stuelegg,7.040000000000003,5.129636333885418,5.125484525123037,7.62476197657058,3,no traffic
4/17,6.349999999999998,StGallen_Stuelegg,9.102608695652174,3.0604949665027905,2.785412377952903,5.252159545126476,4,no traffic
4/18,4.422173913043479,StGallen_Stuelegg,10.101250000000002,2.5267409848355995,2.741366613684154,4.386706687259527,5,no traffic
4/19,3.6904166666666667,StGallen_Stuelegg,6.422499999999999,3.4944601538979247,4.622143787152752,3.773856522904345,6,no traffic
4/20,7.75875,StGallen_Stuelegg,6.29304347826087,7.996832165610341,7.996832165610341,6.466174799601923,0,no traffic
4/21,8.864782608695652,StGallen_Stuelegg,4.5616666666666665,10.436043040970013,10.218925175371021,8.368009927393517,1,no traffic
4/22,10.129166666666666,StGallen_Stuelegg,1.7321739130434783,6.282469814756922,6.7153800035830935,7.359303121750535,2,no traffic
4/23,9.705833333333333,StGallen_Stuelegg,0.8921739130434783,6.927881493031725,6.922274226314295,9.421551677761839,3,no traffic
4/24,5.667826086956523,StGallen_Stuelegg,0.9920833333333334,1.8435498318462449,1.6778483798211605,4.144595546994734,4,no traffic
4/25,4.375000000000001,StGallen_Stuelegg,,3.512785722827709,3.8111676500995992,5.456507723674972,5,no traffic
3/16,52.45708333333334,Zuerich_Schimmelstrasse,,51.94288312379273,51.94288312379273,34.01990106626508,0,low traffic
3/17,47.07375,Zuerich_Schimmelstrasse,,53.190503150059364,51.378950201633536,34.531286003849516,1,low traffic
3/18,50.32125,Zuerich_Schimmelstrasse,26.03583333333333,52.43573251409815,49.42640941270723,32.90617326547065,2,low traffic
3/19,51.05666666666666,Zuerich_Schimmelstrasse,55.88708333333333,53.77227136400141,51.12374433151718,44.96474858705086,3,low traffic
3/20,40.88208333333333,Zuerich_Schimmelstrasse,49.15708333333333,56.31091985476914,53.03142685912117,44.428822537312406,4,low traffic
3/21,18.02583333333333,Zuerich_Schimmelstrasse,50.06374999999999,42.539413352431595,48.990708768373025,29.78007286735614,5,low traffic
3/22,9.71125,Zuerich_Schimmelstrasse,64.00041666666667,25.11083666487998,34.41086407646747,12.223053195239451,6,low traffic
3/23,17.233750000000004,Zuerich_Schimmelstrasse,59.27833333333334,46.34926437471865,46.34926437471865,28.426282317190996,0,low traffic
3/24,20.621250000000003,Zuerich_Schimmelstrasse,49.86625,62.83832531220616,60.69818850672571,43.85052430894169,1,low traffic
3/25,22.239166666666673,Zuerich_Schimmelstrasse,43.1890909090909,66.49232205193911,62.67628151579853,46.15604536856195,2,low traffic
3/26,31.86909090909091,Zuerich_Schimmelstrasse,35.802083333333336,54.48698252112366,51.80325273874546,45.64425699427915,3,low traffic
3/27,52.92624999999999,Zuerich_Schimmelstrasse,41.67565217391304,50.35640798017576,47.4236999426779,38.82109562086914,4,low traffic
3/28,43.11208333333334,Zuerich_Schimmelstrasse,35.30875,43.03491466901928,49.56135511213378,30.350719211116896,5,low traffic
3/29,24.463478260869568,Zuerich_Schimmelstrasse,49.04333333333334,31.07688604002469,42.586494258026775,20.398683376798758,6,low traffic
3/30,21.038333333333334,Zuerich_Schimmelstrasse,54.92666666666666,42.29766531528025,42.29766531528025,24.374683257752594,0,low traffic
3/31,28.63250000000001,Zuerich_Schimmelstrasse,43.40434782608696,41.15314218412978,39.751555591682504,22.903891393898483,1,low traffic
4/1,42.85458333333333,Zuerich_Schimmelstrasse,48.27125,61.698358468567,58.157446831498994,41.63721068426241,2,low traffic
4/2,53.74291666666665,Zuerich_Schimmelstrasse,45.5425,48.910590879288456,46.50152355085689,40.342527806390564,3,low traffic
4/3,41.3075,Zuerich_Schimmelstrasse,38.12583333333333,60.480426136846084,56.95810516604429,48.35550084423553,4,low traffic
4/4,28.14041666666667,Zuerich_Schimmelstrasse,44.84041666666667,49.0002731359101,56.43138730860954,37.22075140759265,5,low traffic
4/5,28.62041666666666,Zuerich_Schimmelstrasse,45.482380952380964,37.09223453783551,50.82968194202184,28.641871060793825,6,low traffic
4/6,40.9675,Zuerich_Schimmelstrasse,46.51458333333334,48.83233860615595,48.83233860615595,30.909356548628296,0,low traffic
4/7,44.13,Zuerich_Schimmelstrasse,31.893750000000008,48.82383497331773,47.16100125373726,30.31333705595324,1,low traffic
4/8,42.269583333333344,Zuerich_Schimmelstrasse,35.06458333333334,52.207151127884075,49.21094647097941,32.69071032374283,2,low traffic
4/9,42.620909090909095,Zuerich_Schimmelstrasse,46.09916666666666,54.55998726042732,51.872661665176786,45.71366592071047,3,low traffic
4/10,24.885833333333334,Zuerich_Schimmelstrasse,47.86708333333334,53.706977451324825,50.57913551900864,41.976531197199876,4,low traffic
4/11,31.58875,Zuerich_Schimmelstrasse,34.4825,43.07191944422797,49.60397182972386,30.393335928706975,5,low traffic
4/12,21.688749999999995,Zuerich_Schimmelstrasse,42.43041666666667,36.61810908198883,50.179959798786726,27.99214891755871,6,low traffic
4/13,13.868333333333332,Zuerich_Schimmelstrasse,33.84708333333334,47.211113830510634,47.211113830510634,29.28813177298298,0,low traffic
4/14,15.955416666666665,Zuerich_Schimmelstrasse,32.214166666666664,44.65336507848534,43.13256850062904,26.28490430284502,1,low traffic
4/15,32.27458333333333,Zuerich_Schimmelstrasse,44.43333333333333,55.005393242806264,51.84859552777172,35.32835938053514,2,low traffic
4/16,40.45,Zuerich_Schimmelstrasse,42.0517391304348,46.56879998393803,44.27507642532371,38.116080680857394,3,low traffic
